Comment
Masya allah sqyukron uqtad
Semoga sehat selalu Ustadz
😢😢
Alhamdulillah bisa ikut ngaji virtual. Ingin rasanya nyantri langsung ke beliau agar bisa mendapat aliran barokahnya lebih sempurna.
"Masya Allah,barakallah ustadz dn keluarga besarx ,beserta timx,jazakallahu Khairan 🙏"
assalamualaikum ustadz. buku2 yg di belakang itu bisa kita dapatkan kah?
Alhamdulilah bisa menyimak kajian
Masya Allah
"Alhamdulillah, izin belajar ustadz."
Adakah yang tahu buku yang sedang dibaca ustadz adi hidayat  itu yang mana? soalnya mau beli
"Alhamdulillah segala pujian bagi Alloh yang menjadikan kemudahan kita, kita berusaha belajar setiap sa&#39;at tuk memperbaiki diri, keluarga, lingkungan lewat istighfar.apapun statusnya tetaplah berusaha. Semoga semuanya dijaga oleh Alloh ta&#39;ala di dunia sampai akhirat y Robb"
Assalamualaikum pa ustadz. Bagaimana caranya agar semua keinginan saya terpenuhi. Saya ingin punya mobil dan rumah. Garasi untuk mobil. Yg dekat rumah emak saya. Saya sehat. Berkah. Melimpah. Keluarga sehat panjang umur. Saya memiliki bayi lagi.... saya sudah lakukan sholat sunah. Dzikir. Terus amalan apalagi pa ustadz
Barakallah ustadz..
"ustadz, mohon doanya saya ingin bertaubat dari dosa dosa yang saya perbuat"
"Q.S Nuh ayat 10- 12<br><br>فَقُلْتُ ٱسْتَغْفِرُوا۟ رَبَّكُمْ إِنَّهُۥ كَانَ غَفَّارًا<br><br>Arab-Latin: Fa qultustagfirụ rabbakum innahụ kāna gaffārā<br><br>Artinya: Maka aku katakan kepada mereka: &#39;Mohonlah ampun kepada Tuhanmu, -sesungguhnya Dia adalah Maha Pengampun-,<br><br>يُرْسِلِ ٱلسَّمَآءَ عَلَيْكُم مِّدْرَارًا<br><br>Arab-Latin: Yursilis-samā`a &#39;alaikum midrārā<br><br>Artinya: Niscaya Dia akan mengirimkan hujan kepadamu dengan lebat,<br><br>وَيُمْدِدْكُم بِأَمْوَٰلٍ وَبَنِينَ وَيَجْعَل لَّكُمْ جَنَّٰتٍ وَيَجْعَل لَّكُمْ أَنْهَٰرًا<br><br>Arab-Latin: Wa yumdidkum bi`amwāliw wa banīna wa yaj&#39;al lakum jannātiw wa yaj&#39;al lakum an-hārā<br><br>Artinya: Dan membanyakkan harta dan anak-anakmu, dan mengadakan untukmu kebun-kebun dan mengadakan (pula di dalamnya) untukmu sungai-sungai.<br><br><br>Tafsir as-Sa&#39;di / Syaikh Abdurrahman bin Nashir as-Sa&#39;di, pakar tafsir abad 14 H<br><br>10-12. “Maka aku katakan kepada mereka, ‘Mohonlah ampun kepada Rabbmu’.” Yakni, tinggalkan dosa kalian dan mintalah ampunan pada Allah atas dosa-dosa kalian itu, “sesungguhnya Dia adalah Maha Pengampun,” yang banyak ampunanNya bagi orang yang bertaubat dan meminta ampun.<br>Nabi Nuh mendorong kaumnya untuk meminta ampunan atas segala dosa serta melakukan apa-apa yang mendatangkan pahala dan terhindar dari siksa. Nabi Nuh juga mendorong mereka pada kebaikan dunia yang disegerakan seraya berkata “Niscaya Dia akan mengirimkan hujan kepadamu dengan lebat,” yakni, hujan lebat yang menghidupkan negeri dan manusia, “dan membanyakkan harta dan anak-anakmu,” yakni memperbanyak harta yang dengan harta itu kalian bisa mendapatkan apa saja yang kalian inginkan dan juga anak-anak kalian, “dan mengadakan untukmu kebun-kebun dan mengadakan (pula di dalamnya) untukmu sungai-sungai,” inilah di antara puncak kenikmatan dan tuntutan dunia."
Lotim hadir meyimak
"Saya membuktikan sendiri apa yg disampaikan ustadz, apabila dalam satu kampung, kawasan atau daerah ada yg beristigfar, maka diberkahi dan dirahmati, dijauhkan dari keburukan. Baru saja terjadi, hampir satu kawasan tempat berdagang akan digusur oleh pengusasa setempat. Subhanalah, saya yg pendosa ini tiba tiba sering istigfar. dan secara tiba2, atas izin ALLAH, alhamdulilah sya bisa membantu memperjuangkan para pedagang yg akhirnya tidak jadi digusur...benar2 terjadi pada saya pada 16 September 2023. Masya Allah, Alllah Benar2 Maha Pengasih &amp; Maha Penyayang"
"ALHAMDULILLAH   DI TAKLIM DI SAYA, UDAH SAYA AJARKAN   SHOLAWAT  ,  ISTAGFIRU..ROBB....🙏🤲👌"
Mashaallah
Maa Syaa Allah..... Tabarakallah....<br>Terimakasih Tausiyahnya Ustad Adi Hidayat 🙏
Alhamdulillah...terima kasih ya Allah telah menunjukkan tauziyah ini melalui chanel ustadz Adi hidayat
"Bismillahirrahmanirrahim, Assalamu&#39;alaikum pak ustadz saya seorang pendosa yang ingin kembali ke jalan yang benar, saya ingin sekali bertemu dengan pak ustadz 😭😭😭🙏"
"Bismillah.. Niat ngaji, semoga barokah.."
"Alhamdulillah, terimakasih ustadz atas ilmu nya"
makasih ustadz atas ilmu dan nasehatnya
❤
"Kalau istighfar tapi masih melakukan maksiat, bagaimana ustad? Kadang frustasi sendiri, pengen jadi baik-bener2 baik, tapi kelakuan masih banyak maksiatnya."
Assalamualaikum warahmatullahi wabaratuh  apa ridho ustadz pemimpin ummat akhir zaman ummu minta. No  hp  / wa   untuk menyampaikan kebenaran  😭🙏  syukran  JAZZAKALLAH KHAIRAN.
"Masya Allah penjelasan yang begitu adem,mungkin ada satu saran untuk editor nya, misal ada ayat atau hadits yang di sampaikan ustadz Adi Hidayat tolong cantumkan di kolom komentar beserta dengan terjemahan nya agar kami juga bisa membacan sekalian menghapal nya,terima kasih"
"Maa syaa Allah, Jazakallahu khoiron katsiron Yaa Ustadz"
Bismillah semoga Alloh SWT memberikan kesehatan kepada ustadz dan keluarga.. Amin
Saya sangat bersyukur bertambah ilmu agama n sangat tenang hati ini..apa lagi ustadx cara menyampai enak di dengar..Amin.YRA..Tksh.
Allahumma Sholli &#39;Ala Sayyidina Muhammad Wa Alihi
jazakallahu khairan katsiran guru
Apa arti patala
Alhamdulillah bisa mendengarkan kajian UAH yang penuh dengan kebaikan. Semoga UAH selalu dalam keadaan sehat agar terus aktif menebarkan kebaikan
Alhamdulillah ❤
Masyallah
Alhamdulillah
Jazakallahu khairan ustadz 🙏
Terima Kasih Ustadz  Ilmunya<br>Alhamdulillah  .<br>Semoga Ustadz dan Keluarga selalu di Berikan Kesehatan.<br>Aamiin
Ustad adi ustad idola saya
"Syukron, ust. sehat selalu.."
Bissmilahirrohmaanirrohiim assalamualaikum... Alhamdulillah...terimakasih ilmunya ustadz...
Jazakallah khoir ilmunya ust.
Alhamdulillah 🤲
Alhamdulillah menyimak semoga ilmunya barokah..<br>Trimakasih UAH semoga Allah SWT sll melindungimu dan tetap sehat...❤
"<a href=""https://www.youtube.com/watch?v=g1RsBK1e1j0&amp;t=3m50s"">3:50</a>"
Alhmdllah
